Number of Beds,Number of Paths,Area of Apartment,Location,Price,Links,Seller Name,Seller Link
3 Beds,2 Baths,165 Sq. M.,"The One, Smoha, Alexandria","11,226,600",https://www.bayut.eg/en/property/details-502594458.html,Ahmed Mahmoud,https://www.bayut.eg/en/brokers/ahmed-mahmoud-00000000-4f8a-801f-8000-024213371337.html
3 Beds,2 Baths,250 Sq. M.,"Camp Caesar, Alexandria","9,850,000",https://www.bayut.eg/en/property/details-502593291.html,اسراء سعيد,https://www.bayut.eg/en/brokers/%D8%A7%D8%B3%D8%B1%D8%A7%D8%A1-%D8%B3%D8%B9%D9%8A%D8%AF-00000000-1762-801f-8000-024213371337.html
3 Beds,2 Baths,250 Sq. M.,"Camp Caesar, Alexandria","9,850,000",https://www.bayut.eg/en/property/details-502593291.html,اسراء سعيد,https://www.bayut.eg/en/brokers/%D8%A7%D8%B3%D8%B1%D8%A7%D8%A1-%D8%B3%D8%B9%D9%8A%D8%AF-00000000-1762-801f-8000-024213371337.html
5 Beds,2 Baths,230 Sq. M.,"Cleopatra, Alexandria","8,500,000",https://www.bayut.eg/en/property/details-502589275.html,Abdelrahman Khamis,https://www.bayut.eg/en/brokers/abdelrahman-khamis-00000000-49fc-801f-8000-024213371337.html
5 Beds,2 Baths,230 Sq. M.,"Cleopatra, Alexandria","8,500,000",https://www.bayut.eg/en/property/details-502589275.html,Abdelrahman Khamis,https://www.bayut.eg/en/brokers/abdelrahman-khamis-00000000-49fc-801f-8000-024213371337.html
2 Beds,2 Baths,119 Sq. M.,"Palm Hills Alexandria, Amreya, Alexandria","7,700,000",https://www.bayut.eg/en/property/details-502588675.html,Rahma Reda,https://www.bayut.eg/en/brokers/rahma-reda-00000000-4498-801f-8000-024213371337.html
2 Beds,2 Baths,119 Sq. M.,"Palm Hills Alexandria, Amreya, Alexandria","7,700,000",https://www.bayut.eg/en/property/details-502588675.html,Rahma Reda,https://www.bayut.eg/en/brokers/rahma-reda-00000000-4498-801f-8000-024213371337.html
4 Beds,3 Baths,179 Sq. M.,"Palm Hills Alexandria, Amreya, Alexandria","10,880,000",https://www.bayut.eg/en/property/details-502588665.html,Rahma Reda,https://www.bayut.eg/en/brokers/rahma-reda-00000000-4498-801f-8000-024213371337.html
4 Beds,3 Baths,179 Sq. M.,"Palm Hills Alexandria, Amreya, Alexandria","10,880,000",https://www.bayut.eg/en/property/details-502588665.html,Rahma Reda,https://www.bayut.eg/en/brokers/rahma-reda-00000000-4498-801f-8000-024213371337.html
4 Beds,2 Baths,400 Sq. M.,"Sporting, Alexandria","12,000,000",https://www.bayut.eg/en/property/details-502626210.html,Mohamed Abdelsalam,https://www.bayut.eg/en/brokers/mohamed-abdelsalam-c3435840-305e-4d4f-a80e-9362f9508e7c.html
3 Beds,3 Baths,162 Sq. M.,"Palm Hills Alexandria, Amreya, Alexandria","9,800,000",https://www.bayut.eg/en/property/details-502588663.html,Rahma Reda,https://www.bayut.eg/en/brokers/rahma-reda-00000000-4498-801f-8000-024213371337.html
3 Beds,3 Baths,162 Sq. M.,"Palm Hills Alexandria, Amreya, Alexandria","9,800,000",https://www.bayut.eg/en/property/details-502588663.html,Rahma Reda,https://www.bayut.eg/en/brokers/rahma-reda-00000000-4498-801f-8000-024213371337.html
3 Beds,3 Baths,162 Sq. M.,"Palm Hills Alexandria, Amreya, Alexandria","9,800,000",https://www.bayut.eg/en/property/details-502588663.html,Rahma Reda,https://www.bayut.eg/en/brokers/rahma-reda-00000000-4498-801f-8000-024213371337.html
4 Beds,2 Baths,186 Sq. M.,"Murooj, Smoha, Alexandria","9,114,000",https://www.bayut.eg/en/property/details-502593538.html,Nermeen Nasser,https://www.bayut.eg/en/brokers/nermeen-nasser-00000000-5283-801f-8000-024213371337.html
4 Beds,2 Baths,186 Sq. M.,"Murooj, Smoha, Alexandria","9,114,000",https://www.bayut.eg/en/property/details-502593538.html,Nermeen Nasser,https://www.bayut.eg/en/brokers/nermeen-nasser-00000000-5283-801f-8000-024213371337.html
4 Beds,3 Baths,396 Sq. M.,"Laurent, Alexandria","7,200,000",https://www.bayut.eg/en/property/details-502593145.html,Amr Eltarawy,https://www.bayut.eg/en/brokers/amr-eltarawy-00000000-3f6b-801f-8000-024213371337.html
4 Beds,3 Baths,396 Sq. M.,"Laurent, Alexandria","7,200,000",https://www.bayut.eg/en/property/details-502593145.html,Amr Eltarawy,https://www.bayut.eg/en/brokers/amr-eltarawy-00000000-3f6b-801f-8000-024213371337.html
3 Beds,3 Baths,215 Sq. M.,"Zezenia, Alexandria","10,500,000",https://www.bayut.eg/en/property/details-502589862.html,Remax Vision 1,nan
3 Beds,3 Baths,215 Sq. M.,"Zezenia, Alexandria","10,500,000",https://www.bayut.eg/en/property/details-502589862.html,Remax Vision 1,nan
3 Beds,2 Baths,175 Sq. M.,"Smoha, Alexandria","8,500,000",https://www.bayut.eg/en/property/details-502596545.html,Azza Abbas,https://www.bayut.eg/en/brokers/azza-abbas-00000000-3e90-801f-8000-024213371337.html
3 Beds,2 Baths,175 Sq. M.,"Smoha, Alexandria","8,500,000",https://www.bayut.eg/en/property/details-502596545.html,Azza Abbas,https://www.bayut.eg/en/brokers/azza-abbas-00000000-3e90-801f-8000-024213371337.html
3 Beds,3 Baths,208 Sq. M.,"Sawari, Moharam Bik, Alexandria","9,350,600",https://www.bayut.eg/en/property/details-502593745.html,Hany Youssef,nan
3 Beds,3 Baths,208 Sq. M.,"Sawari, Moharam Bik, Alexandria","9,350,600",https://www.bayut.eg/en/property/details-502593745.html,Hany Youssef,nan
2 Beds,2 Baths,135 Sq. M.,"The One, Smoha, Alexandria","8,500,000",https://www.bayut.eg/en/property/details-502592500.html,Abdelrahman Atef,https://www.bayut.eg/en/brokers/abdelrahman-atef-82b88eba-c035-4a1c-a8a6-bbe7ae97733e.html
2 Beds,2 Baths,135 Sq. M.,"The One, Smoha, Alexandria","8,500,000",https://www.bayut.eg/en/property/details-502592500.html,Abdelrahman Atef,https://www.bayut.eg/en/brokers/abdelrahman-atef-82b88eba-c035-4a1c-a8a6-bbe7ae97733e.html
3 Beds,2 Baths,155 Sq. M.,"Al Ibrahimiyyah, Alexandria","4,500,000",https://www.bayut.eg/en/property/details-502623084.html,Remax Vision 1,nan
