Number of Beds,Number of Paths,Area of Apartment,Location,Price,Links,Seller Name,Seller Link
2 Beds,2 Baths,114 Sq. M.,"Murooj, Smoha, Alexandria","6,498,000",https://www.bayut.eg/en/property/details-502661200.html,Romisaa Ashraf,https://www.bayut.eg/en/brokers/romisaa-ashraf-00000000-5177-801f-8000-024213371337.html
3 Beds,3 Baths,300 Sq. M.,"Saba Pasha, Alexandria","15,000,000",https://www.bayut.eg/en/property/details-502660503.html,Ziad Wael,nan
3 Beds,3 Baths,300 Sq. M.,"Saba Pasha, Alexandria","15,000,000",https://www.bayut.eg/en/property/details-502660503.html,Ziad Wael,nan
3 Beds,2 Baths,150 Sq. M.,"Murooj, Smoha, Alexandria","5,250,000",https://www.bayut.eg/en/property/details-502659631.html,Nextestate,nan
3 Beds,2 Baths,150 Sq. M.,"Murooj, Smoha, Alexandria","5,250,000",https://www.bayut.eg/en/property/details-502659631.html,Nextestate,nan
3 Beds,2 Baths,140 Sq. M.,"Moharam Bik, Alexandria","3,600,000",https://www.bayut.eg/en/property/details-502659393.html,Omnia Elhussieny,https://www.bayut.eg/en/brokers/omnia-elhussieny-00000000-4d85-801f-8000-024213371337.html
3 Beds,2 Baths,140 Sq. M.,"Moharam Bik, Alexandria","3,600,000",https://www.bayut.eg/en/property/details-502659393.html,Omnia Elhussieny,https://www.bayut.eg/en/brokers/omnia-elhussieny-00000000-4d85-801f-8000-024213371337.html
3 Beds,2 Baths,167 Sq. M.,"Palm Hills Alexandria, Amreya, Alexandria","14,777,000",https://www.bayut.eg/en/property/details-502659198.html,Rania Shouhda,nan
3 Beds,2 Baths,167 Sq. M.,"Palm Hills Alexandria, Amreya, Alexandria","14,777,000",https://www.bayut.eg/en/property/details-502659198.html,Rania Shouhda,nan
4 Beds,2 Baths,400 Sq. M.,"Sporting, Alexandria","12,000,000",https://www.bayut.eg/en/property/details-502626210.html,Mohamed Abdelsalam,https://www.bayut.eg/en/brokers/mohamed-abdelsalam-c3435840-305e-4d4f-a80e-9362f9508e7c.html
2 Beds,2 Baths,119 Sq. M.,"Palm Hills Alexandria, Amreya, Alexandria","10,721,000",https://www.bayut.eg/en/property/details-502658958.html,Rania Shouhda,nan
2 Beds,2 Baths,119 Sq. M.,"Palm Hills Alexandria, Amreya, Alexandria","10,721,000",https://www.bayut.eg/en/property/details-502658958.html,Rania Shouhda,nan
2 Beds,2 Baths,119 Sq. M.,"Palm Hills Alexandria, Amreya, Alexandria","10,721,000",https://www.bayut.eg/en/property/details-502658958.html,Rania Shouhda,nan
3 Beds,2 Baths,155 Sq. M.,"Miami, Alexandria","3,800,000",https://www.bayut.eg/en/property/details-502659778.html,Adam Amr,https://www.bayut.eg/en/brokers/adam-amr-00000000-421f-801f-8000-024213371337.html
3 Beds,2 Baths,155 Sq. M.,"Miami, Alexandria","3,800,000",https://www.bayut.eg/en/property/details-502659778.html,Adam Amr,https://www.bayut.eg/en/brokers/adam-amr-00000000-421f-801f-8000-024213371337.html
3 Beds,3 Baths,198 Sq. M.,"Sawari, Moharam Bik, Alexandria","8,325,000",https://www.bayut.eg/en/property/details-502659707.html,Mohamed Eldakak,https://www.bayut.eg/en/brokers/mohamed-eldakak-00000000-35ef-801f-8000-024213371337.html
3 Beds,3 Baths,198 Sq. M.,"Sawari, Moharam Bik, Alexandria","8,325,000",https://www.bayut.eg/en/property/details-502659707.html,Mohamed Eldakak,https://www.bayut.eg/en/brokers/mohamed-eldakak-00000000-35ef-801f-8000-024213371337.html
2 Beds,1 Bath,98 Sq. M.,"Sidi Beshr, Alexandria","2,900,000",https://www.bayut.eg/en/property/details-502678908.html,Aly Sallam,https://www.bayut.eg/en/brokers/aly-sallam-00000000-3725-801f-8000-024213371337.html
2 Beds,1 Bath,98 Sq. M.,"Sidi Beshr, Alexandria","2,900,000",https://www.bayut.eg/en/property/details-502678908.html,Aly Sallam,https://www.bayut.eg/en/brokers/aly-sallam-00000000-3725-801f-8000-024213371337.html
4 Beds,3 Baths,250 Sq. M.,"Sawari, Moharam Bik, Alexandria","11,250,000",https://www.bayut.eg/en/property/details-502659123.html,Dalia Nessim,https://www.bayut.eg/en/brokers/dalia-nessim-35edd3ff-525c-4e19-8f69-fc5785e8580d.html
4 Beds,3 Baths,250 Sq. M.,"Sawari, Moharam Bik, Alexandria","11,250,000",https://www.bayut.eg/en/property/details-502659123.html,Dalia Nessim,https://www.bayut.eg/en/brokers/dalia-nessim-35edd3ff-525c-4e19-8f69-fc5785e8580d.html
2 Beds,1 Bath,60 Sq. M.,"Moharam Bik, Alexandria","1,200,000",https://www.bayut.eg/en/property/details-502679409.html,Mariam Ahmed,nan
2 Beds,1 Bath,60 Sq. M.,"Moharam Bik, Alexandria","1,200,000",https://www.bayut.eg/en/property/details-502679409.html,Mariam Ahmed,nan
2 Beds,1 Bath,200 Sq. M.,"King Mariout, Alexandria","1,000,000",https://www.bayut.eg/en/property/details-502675901.html,عمر شريف,nan
2 Beds,1 Bath,200 Sq. M.,"King Mariout, Alexandria","1,000,000",https://www.bayut.eg/en/property/details-502675901.html,عمر شريف,nan
3 Beds,2 Baths,153 Sq. M.,"Valore Antoniades, Smoha, Alexandria","5,000,000",https://www.bayut.eg/en/property/details-502673887.html,Sondos Sameh,nan
3 Beds,2 Baths,153 Sq. M.,"Valore Antoniades, Smoha, Alexandria","5,000,000",https://www.bayut.eg/en/property/details-502673887.html,Sondos Sameh,nan
2 Beds,1 Bath,160 Sq. M.,"Cleopatra, Alexandria","3,900,000",https://www.bayut.eg/en/property/details-502661606.html,Rofael Mina,https://www.bayut.eg/en/brokers/rofael-mina-00000000-3952-801f-8000-024213371337.html
2 Beds,1 Bath,160 Sq. M.,"Cleopatra, Alexandria","3,900,000",https://www.bayut.eg/en/property/details-502661606.html,Rofael Mina,https://www.bayut.eg/en/brokers/rofael-mina-00000000-3952-801f-8000-024213371337.html
3 Beds,3 Baths,208 Sq. M.,"Sawari, Moharam Bik, Alexandria","9,672,000",https://www.bayut.eg/en/property/details-502658840.html,Merna Yousry,nan
3 Beds,3 Baths,208 Sq. M.,"Sawari, Moharam Bik, Alexandria","9,672,000",https://www.bayut.eg/en/property/details-502658840.html,Merna Yousry,nan
3 Beds,2 Baths,133 Sq. M.,"Murooj, Smoha, Alexandria","7,547,750",https://www.bayut.eg/en/property/details-502659597.html,Mahmoud Ali,https://www.bayut.eg/en/brokers/mahmoud-ali-00000000-502d-801f-8000-024213371337.html
3 Beds,2 Baths,133 Sq. M.,"Murooj, Smoha, Alexandria","7,547,750",https://www.bayut.eg/en/property/details-502659597.html,Mahmoud Ali,https://www.bayut.eg/en/brokers/mahmoud-ali-00000000-502d-801f-8000-024213371337.html
2 Beds,2 Baths,137 Sq. M.,"Smoha, Alexandria","5,900,000",https://www.bayut.eg/en/property/details-502659069.html,Maged Saber,https://www.bayut.eg/en/brokers/maged-saber-00000000-40a8-801f-8000-024213371337.html
2 Beds,2 Baths,137 Sq. M.,"Smoha, Alexandria","5,900,000",https://www.bayut.eg/en/property/details-502659069.html,Maged Saber,https://www.bayut.eg/en/brokers/maged-saber-00000000-40a8-801f-8000-024213371337.html
2 Beds,2 Baths,135 Sq. M.,"Smoha, Alexandria","5,460,000",https://www.bayut.eg/en/property/details-502659054.html,Maged Saber,https://www.bayut.eg/en/brokers/maged-saber-00000000-40a8-801f-8000-024213371337.html
2 Beds,2 Baths,135 Sq. M.,"Smoha, Alexandria","5,460,000",https://www.bayut.eg/en/property/details-502659054.html,Maged Saber,https://www.bayut.eg/en/brokers/maged-saber-00000000-40a8-801f-8000-024213371337.html
3 Beds,3 Baths,167 Sq. M.,"Palm Hills Alexandria, Amreya, Alexandria","15,877,000",https://www.bayut.eg/en/property/details-502658619.html,Ramy Saber,nan
3 Beds,3 Baths,167 Sq. M.,"Palm Hills Alexandria, Amreya, Alexandria","15,877,000",https://www.bayut.eg/en/property/details-502658619.html,Ramy Saber,nan
3 Beds,2 Baths,130 Sq. M.,"Cleopatra, Alexandria","4,000,000",https://www.bayut.eg/en/property/details-502670580.html,Yassmin Khlaf,https://www.bayut.eg/en/brokers/yassmin-khlaf-00000000-2e6b-801f-8000-024213371337.html
3 Beds,2 Baths,130 Sq. M.,"Cleopatra, Alexandria","4,000,000",https://www.bayut.eg/en/property/details-502670580.html,Yassmin Khlaf,https://www.bayut.eg/en/brokers/yassmin-khlaf-00000000-2e6b-801f-8000-024213371337.html
3 Beds,3 Baths,200 Sq. M.,"Smoha, Alexandria","9,000,000",https://www.bayut.eg/en/property/details-502672037.html,علاء بدر,https://www.bayut.eg/en/brokers/%D8%B9%D9%84%D8%A7%D8%A1-%D8%A8%D8%AF%D8%B1-a375aba0-3840-4e45-8070-9560e53b08b9.html
3 Beds,3 Baths,200 Sq. M.,"Smoha, Alexandria","9,000,000",https://www.bayut.eg/en/property/details-502672037.html,علاء بدر,https://www.bayut.eg/en/brokers/%D8%B9%D9%84%D8%A7%D8%A1-%D8%A8%D8%AF%D8%B1-a375aba0-3840-4e45-8070-9560e53b08b9.html
2 Beds,3 Baths,132 Sq. M.,"The One, Smoha, Alexandria","9,000,000",https://www.bayut.eg/en/property/details-502670756.html,Mohamed Mohsen,nan
2 Beds,3 Baths,132 Sq. M.,"The One, Smoha, Alexandria","9,000,000",https://www.bayut.eg/en/property/details-502670756.html,Mohamed Mohsen,nan
4 Beds,2 Baths,170 Sq. M.,"Sporting, Alexandria","4,000,000",https://www.bayut.eg/en/property/details-502668673.html,Sara Ashraf,nan
4 Beds,2 Baths,170 Sq. M.,"Sporting, Alexandria","4,000,000",https://www.bayut.eg/en/property/details-502668673.html,Sara Ashraf,nan
3 Beds,2 Baths,155 Sq. M.,"Alex West, Agami, Alexandria","6,948,000",https://www.bayut.eg/en/property/details-502661139.html,Ahmed Mahmoud,https://www.bayut.eg/en/brokers/ahmed-mahmoud-00000000-4f8a-801f-8000-024213371337.html
3 Beds,2 Baths,155 Sq. M.,"Alex West, Agami, Alexandria","6,948,000",https://www.bayut.eg/en/property/details-502661139.html,Ahmed Mahmoud,https://www.bayut.eg/en/brokers/ahmed-mahmoud-00000000-4f8a-801f-8000-024213371337.html
2 Beds,1 Bath,135 Sq. M.,"Sidi Beshr, Alexandria","3,000,000",https://www.bayut.eg/en/property/details-502655573.html,Asser Saleh,https://www.bayut.eg/en/brokers/asser-saleh-00000000-3fa9-801f-8000-024213371337.html
2 Beds,1 Bath,135 Sq. M.,"Sidi Beshr, Alexandria","3,000,000",https://www.bayut.eg/en/property/details-502655573.html,Asser Saleh,https://www.bayut.eg/en/brokers/asser-saleh-00000000-3fa9-801f-8000-024213371337.html
3 Beds,2 Baths,130 Sq. M.,"Cleopatra, Alexandria","4,000,000",https://www.bayut.eg/en/property/details-502668532.html,Hadeer Yaser,https://www.bayut.eg/en/brokers/hadeer-yaser-00000000-17a7-801f-8000-024213371337.html
3 Beds,2 Baths,130 Sq. M.,"Cleopatra, Alexandria","4,000,000",https://www.bayut.eg/en/property/details-502668532.html,Hadeer Yaser,https://www.bayut.eg/en/brokers/hadeer-yaser-00000000-17a7-801f-8000-024213371337.html
5 Beds,2 Baths,309 Sq. M.,"Palm Hills Alexandria, Amreya, Alexandria","25,324,000",https://www.bayut.eg/en/property/details-502662591.html,Abanoub Osama,nan
5 Beds,2 Baths,309 Sq. M.,"Palm Hills Alexandria, Amreya, Alexandria","25,324,000",https://www.bayut.eg/en/property/details-502662591.html,Abanoub Osama,nan
5 Beds,5 Baths,380 Sq. M.,"King Mariout, Alexandria","6,500,000",https://www.bayut.eg/en/property/details-502662395.html,Waleed,nan
5 Beds,5 Baths,380 Sq. M.,"King Mariout, Alexandria","6,500,000",https://www.bayut.eg/en/property/details-502662395.html,Waleed,nan
3 Beds,1 Bath,217 Sq. M.,"Alex West, Agami, Alexandria","13,450,000",https://www.bayut.eg/en/property/details-502666241.html,Ahmed Elbaz,nan
3 Beds,1 Bath,217 Sq. M.,"Alex West, Agami, Alexandria","13,450,000",https://www.bayut.eg/en/property/details-502666241.html,Ahmed Elbaz,nan
3 Beds,2 Baths,145 Sq. M.,"Moharam Bik, Alexandria","3,200,000",https://www.bayut.eg/en/property/details-502596622.html,Ahmed Abdelsatter,https://www.bayut.eg/en/brokers/ahmed-abdelsatter-00000000-51dd-801f-8000-024213371337.html
5 Beds,3 Baths,217 Sq. M.,"Alex West, Agami, Alexandria","130,250,000",https://www.bayut.eg/en/property/details-502665425.html,Mohamed Eldeeb,https://www.bayut.eg/en/brokers/mohamed-eldeeb-688ee4b5-998b-454b-8136-643901d44adb.html
5 Beds,3 Baths,217 Sq. M.,"Alex West, Agami, Alexandria","130,250,000",https://www.bayut.eg/en/property/details-502665425.html,Mohamed Eldeeb,https://www.bayut.eg/en/brokers/mohamed-eldeeb-688ee4b5-998b-454b-8136-643901d44adb.html
5 Beds,3 Baths,217 Sq. M.,"Alex West, Agami, Alexandria","130,250,000",https://www.bayut.eg/en/property/details-502665425.html,Mohamed Eldeeb,https://www.bayut.eg/en/brokers/mohamed-eldeeb-688ee4b5-998b-454b-8136-643901d44adb.html
3 Beds,1 Bath,176 Sq. M.,"Murooj, Smoha, Alexandria","9,680,000",https://www.bayut.eg/en/property/details-502664050.html,Tasheed,nan
3 Beds,1 Bath,176 Sq. M.,"Murooj, Smoha, Alexandria","9,680,000",https://www.bayut.eg/en/property/details-502664050.html,Tasheed,nan
3 Beds,2 Baths,155 Sq. M.,"Alex West, Agami, Alexandria","7,750,000",https://www.bayut.eg/en/property/details-502665279.html,Mohamed Eldeeb,https://www.bayut.eg/en/brokers/mohamed-eldeeb-688ee4b5-998b-454b-8136-643901d44adb.html
3 Beds,2 Baths,155 Sq. M.,"Alex West, Agami, Alexandria","7,750,000",https://www.bayut.eg/en/property/details-502665279.html,Mohamed Eldeeb,https://www.bayut.eg/en/brokers/mohamed-eldeeb-688ee4b5-998b-454b-8136-643901d44adb.html
3 Beds,1 Bath,140 Sq. M.,"Camp Caesar, Alexandria","4,700,000",https://www.bayut.eg/en/property/details-502663907.html,Ahmed Okasha,https://www.bayut.eg/en/brokers/ahmed-okasha-00000000-47eb-801f-8000-024213371337.html
3 Beds,1 Bath,140 Sq. M.,"Camp Caesar, Alexandria","4,700,000",https://www.bayut.eg/en/property/details-502663907.html,Ahmed Okasha,https://www.bayut.eg/en/brokers/ahmed-okasha-00000000-47eb-801f-8000-024213371337.html
3 Beds,2 Baths,176 Sq. M.,"Miami, Alexandria","3,300,000",https://www.bayut.eg/en/property/details-502658359.html,Omar Gado,https://www.bayut.eg/en/brokers/omar-gado-00000000-3c3f-801f-8000-024213371337.html
3 Beds,2 Baths,176 Sq. M.,"Miami, Alexandria","3,300,000",https://www.bayut.eg/en/property/details-502658359.html,Omar Gado,https://www.bayut.eg/en/brokers/omar-gado-00000000-3c3f-801f-8000-024213371337.html
3 Beds,1 Bath,176 Sq. M.,"Murooj, Smoha, Alexandria","9,680,000",https://www.bayut.eg/en/property/details-502664160.html,Tasheed,nan
3 Beds,1 Bath,176 Sq. M.,"Murooj, Smoha, Alexandria","9,680,000",https://www.bayut.eg/en/property/details-502664160.html,Tasheed,nan
4 Beds,4 Baths,400 Sq. M.,"King Mariout, Alexandria","4,000,000",https://www.bayut.eg/en/property/details-502662449.html,Waleed,nan
4 Beds,4 Baths,400 Sq. M.,"King Mariout, Alexandria","4,000,000",https://www.bayut.eg/en/property/details-502662449.html,Waleed,nan
3 Beds,1 Bath,130 Sq. M.,"Camp Caesar, Alexandria","3,500,000",https://www.bayut.eg/en/property/details-502668231.html,Remax Vision 1,nan
3 Beds,1 Bath,130 Sq. M.,"Camp Caesar, Alexandria","3,500,000",https://www.bayut.eg/en/property/details-502668231.html,Remax Vision 1,nan
7 Beds,5 Baths,414 Sq. M.,"Sawari, Moharam Bik, Alexandria","17,642,100",https://www.bayut.eg/en/property/details-502656188.html,Iriny Safir,nan
7 Beds,5 Baths,414 Sq. M.,"Sawari, Moharam Bik, Alexandria","17,642,100",https://www.bayut.eg/en/property/details-502656188.html,Iriny Safir,nan
3 Beds,3 Baths,176 Sq. M.,"Murooj, Smoha, Alexandria","8,272,000",https://www.bayut.eg/en/property/details-502655399.html,Mohamed Eldeeb,https://www.bayut.eg/en/brokers/mohamed-eldeeb-688ee4b5-998b-454b-8136-643901d44adb.html
3 Beds,3 Baths,176 Sq. M.,"Murooj, Smoha, Alexandria","8,272,000",https://www.bayut.eg/en/property/details-502655399.html,Mohamed Eldeeb,https://www.bayut.eg/en/brokers/mohamed-eldeeb-688ee4b5-998b-454b-8136-643901d44adb.html
2 Beds,2 Baths,133 Sq. M.,"Alex West, Agami, Alexandria","6,179,000",https://www.bayut.eg/en/property/details-502655382.html,Malika Elhosary,nan
2 Beds,2 Baths,133 Sq. M.,"Alex West, Agami, Alexandria","6,179,000",https://www.bayut.eg/en/property/details-502655382.html,Malika Elhosary,nan
3 Beds,2 Baths,225 Sq. M.,"Gianaclis, Alexandria","16,800,000",https://www.bayut.eg/en/property/details-502655268.html,Coldwell Banker New Alex,nan
3 Beds,2 Baths,225 Sq. M.,"Gianaclis, Alexandria","16,800,000",https://www.bayut.eg/en/property/details-502655268.html,Coldwell Banker New Alex,nan
4 Beds,3 Baths,270 Sq. M.,"Kafr Abdo, Alexandria","9,200,000",https://www.bayut.eg/en/property/details-502655249.html,Aya Abo Almaaty,https://www.bayut.eg/en/brokers/aya-abo-almaaty-00000000-1590-801f-8000-024213371337.html
4 Beds,3 Baths,270 Sq. M.,"Kafr Abdo, Alexandria","9,200,000",https://www.bayut.eg/en/property/details-502655249.html,Aya Abo Almaaty,https://www.bayut.eg/en/brokers/aya-abo-almaaty-00000000-1590-801f-8000-024213371337.html
8 Beds,3 Baths,600 Sq. M.,"Alex West, Agami, Alexandria","46,374,000",https://www.bayut.eg/en/property/details-502654797.html,Abdelrahman Ashraf Saad,https://www.bayut.eg/en/brokers/abdelrahman-ashraf-saad-8a7b0fc0-c643-4381-aa3a-1a7c3eb118b6.html
8 Beds,3 Baths,600 Sq. M.,"Alex West, Agami, Alexandria","46,374,000",https://www.bayut.eg/en/property/details-502654797.html,Abdelrahman Ashraf Saad,https://www.bayut.eg/en/brokers/abdelrahman-ashraf-saad-8a7b0fc0-c643-4381-aa3a-1a7c3eb118b6.html
3 Beds,3 Baths,276 Sq. M.,"Smoha, Alexandria","13,000,000",https://www.bayut.eg/en/property/details-502654743.html,Eslam Aly,https://www.bayut.eg/en/brokers/eslam-aly-dc876f75-00f1-40dc-bee5-f21d60f44fb9.html
3 Beds,3 Baths,276 Sq. M.,"Smoha, Alexandria","13,000,000",https://www.bayut.eg/en/property/details-502654743.html,Eslam Aly,https://www.bayut.eg/en/brokers/eslam-aly-dc876f75-00f1-40dc-bee5-f21d60f44fb9.html
4 Beds,3 Baths,180 Sq. M.,"Murooj, Smoha, Alexandria","6,660,000",https://www.bayut.eg/en/property/details-502654683.html,Anna Simon Gamil,https://www.bayut.eg/en/brokers/anna-simon-gamil-00000000-330c-801f-8000-024213371337.html
4 Beds,3 Baths,180 Sq. M.,"Murooj, Smoha, Alexandria","6,660,000",https://www.bayut.eg/en/property/details-502654683.html,Anna Simon Gamil,https://www.bayut.eg/en/brokers/anna-simon-gamil-00000000-330c-801f-8000-024213371337.html
2 Beds,1 Bath,120 Sq. M.,"Sidi Gaber, Alexandria","3,900,000",https://www.bayut.eg/en/property/details-502654394.html,Adam Amr,https://www.bayut.eg/en/brokers/adam-amr-00000000-421f-801f-8000-024213371337.html
2 Beds,1 Bath,120 Sq. M.,"Sidi Gaber, Alexandria","3,900,000",https://www.bayut.eg/en/property/details-502654394.html,Adam Amr,https://www.bayut.eg/en/brokers/adam-amr-00000000-421f-801f-8000-024213371337.html
4 Beds,3 Baths,218 Sq. M.,"Alex West, Agami, Alexandria","9,750,000",https://www.bayut.eg/en/property/details-502654229.html,Ahmed Mostafa,https://www.bayut.eg/en/brokers/ahmed-mostafa-00000000-1ab6-801f-8000-024213371337.html
4 Beds,3 Baths,218 Sq. M.,"Alex West, Agami, Alexandria","9,750,000",https://www.bayut.eg/en/property/details-502654229.html,Ahmed Mostafa,https://www.bayut.eg/en/brokers/ahmed-mostafa-00000000-1ab6-801f-8000-024213371337.html
3 Beds,4 Baths,252 Sq. M.,"Palm Hills Alexandria, Amreya, Alexandria","28,683,000",https://www.bayut.eg/en/property/details-502654228.html,Ahmed Ammar,nan
3 Beds,4 Baths,252 Sq. M.,"Palm Hills Alexandria, Amreya, Alexandria","28,683,000",https://www.bayut.eg/en/property/details-502654228.html,Ahmed Ammar,nan
2 Beds,1 Bath,85 Sq. M.,"Sidi Beshr, Alexandria","1,750,000",https://www.bayut.eg/en/property/details-502654179.html,Youssef Ayman,nan
2 Beds,1 Bath,85 Sq. M.,"Sidi Beshr, Alexandria","1,750,000",https://www.bayut.eg/en/property/details-502654179.html,Youssef Ayman,nan
3 Beds,3 Baths,178 Sq. M.,"Alex West, Agami, Alexandria","8,900,000",https://www.bayut.eg/en/property/details-502653744.html,Mohamed Eldeeb,https://www.bayut.eg/en/brokers/mohamed-eldeeb-688ee4b5-998b-454b-8136-643901d44adb.html
3 Beds,3 Baths,178 Sq. M.,"Alex West, Agami, Alexandria","8,900,000",https://www.bayut.eg/en/property/details-502653744.html,Mohamed Eldeeb,https://www.bayut.eg/en/brokers/mohamed-eldeeb-688ee4b5-998b-454b-8136-643901d44adb.html
4 Beds,3 Baths,276 Sq. M.,"Alex West, Agami, Alexandria","25,000,000",https://www.bayut.eg/en/property/details-502653614.html,Ayman,https://www.bayut.eg/en/brokers/ayman-00000000-3b7c-801f-8000-024213371337.html
4 Beds,3 Baths,276 Sq. M.,"Alex West, Agami, Alexandria","25,000,000",https://www.bayut.eg/en/property/details-502653614.html,Ayman,https://www.bayut.eg/en/brokers/ayman-00000000-3b7c-801f-8000-024213371337.html
6 Beds,4 Baths,650 Sq. M.,"Laurent, Alexandria","21,000,000",https://www.bayut.eg/en/property/details-502653586.html,Mohamed Khaliffa,https://www.bayut.eg/en/brokers/mohamed-khaliffa-00000000-47ce-801f-8000-024213371337.html
6 Beds,4 Baths,650 Sq. M.,"Laurent, Alexandria","21,000,000",https://www.bayut.eg/en/property/details-502653586.html,Mohamed Khaliffa,https://www.bayut.eg/en/brokers/mohamed-khaliffa-00000000-47ce-801f-8000-024213371337.html
3 Beds,1 Bath,145 Sq. M.,"Sidi Gaber, Alexandria","4,800,000",https://www.bayut.eg/en/property/details-502653427.html,Abdulrahman Elkhwesky,nan
3 Beds,1 Bath,145 Sq. M.,"Sidi Gaber, Alexandria","4,800,000",https://www.bayut.eg/en/property/details-502653427.html,Abdulrahman Elkhwesky,nan
4 Beds,2 Baths,160 Sq. M.,"Glim, Alexandria","4,000,000",https://www.bayut.eg/en/property/details-502618164.html,Amr Eltarawy,https://www.bayut.eg/en/brokers/amr-eltarawy-00000000-3f6b-801f-8000-024213371337.html
3 Beds,2 Baths,140 Sq. M.,"Murooj, Smoha, Alexandria","5,250,000",https://www.bayut.eg/en/property/details-502653083.html,Mohand Ahmed,https://www.bayut.eg/en/brokers/mohand-ahmed-ce68e931-067d-452a-98e6-2ed6f4f3be6f.html
3 Beds,2 Baths,140 Sq. M.,"Murooj, Smoha, Alexandria","5,250,000",https://www.bayut.eg/en/property/details-502653083.html,Mohand Ahmed,https://www.bayut.eg/en/brokers/mohand-ahmed-ce68e931-067d-452a-98e6-2ed6f4f3be6f.html
3 Beds,2 Baths,140 Sq. M.,"Murooj, Smoha, Alexandria","5,250,000",https://www.bayut.eg/en/property/details-502653083.html,Mohand Ahmed,https://www.bayut.eg/en/brokers/mohand-ahmed-ce68e931-067d-452a-98e6-2ed6f4f3be6f.html
3 Beds,3 Baths,195 Sq. M.,"Valore Antoniades, Smoha, Alexandria","6,045,000",https://www.bayut.eg/en/property/details-502653041.html,Abanoub Osama,nan
3 Beds,3 Baths,195 Sq. M.,"Valore Antoniades, Smoha, Alexandria","6,045,000",https://www.bayut.eg/en/property/details-502653041.html,Abanoub Osama,nan
3 Beds,3 Baths,177 Sq. M.,"Sawari, Moharam Bik, Alexandria","7,700,000",https://www.bayut.eg/en/property/details-502652798.html,Mohand Ahmed,https://www.bayut.eg/en/brokers/mohand-ahmed-ce68e931-067d-452a-98e6-2ed6f4f3be6f.html
3 Beds,3 Baths,177 Sq. M.,"Sawari, Moharam Bik, Alexandria","7,700,000",https://www.bayut.eg/en/property/details-502652798.html,Mohand Ahmed,https://www.bayut.eg/en/brokers/mohand-ahmed-ce68e931-067d-452a-98e6-2ed6f4f3be6f.html
3 Beds,1 Bath,130 Sq. M.,"Sidi Gaber, Alexandria","4,300,000",https://www.bayut.eg/en/property/details-502656966.html,Reham Gamal,nan
3 Beds,1 Bath,130 Sq. M.,"Sidi Gaber, Alexandria","4,300,000",https://www.bayut.eg/en/property/details-502656966.html,Reham Gamal,nan
2 Beds,1 Bath,100 Sq. M.,"Sidi Beshr, Alexandria","1,850,000",https://www.bayut.eg/en/property/details-502656626.html,Adam Amr,https://www.bayut.eg/en/brokers/adam-amr-00000000-421f-801f-8000-024213371337.html
2 Beds,1 Bath,100 Sq. M.,"Sidi Beshr, Alexandria","1,850,000",https://www.bayut.eg/en/property/details-502656626.html,Adam Amr,https://www.bayut.eg/en/brokers/adam-amr-00000000-421f-801f-8000-024213371337.html
3 Beds,3 Baths,180 Sq. M.,"Grand View, Smoha, Alexandria","10,000,000",https://www.bayut.eg/en/property/details-502656327.html,Coldwell Banker New Alex,nan
3 Beds,3 Baths,180 Sq. M.,"Grand View, Smoha, Alexandria","10,000,000",https://www.bayut.eg/en/property/details-502656327.html,Coldwell Banker New Alex,nan
3 Beds,2 Baths,143 Sq. M.,"Sawari, Moharam Bik, Alexandria","5,863,000",https://www.bayut.eg/en/property/details-502655828.html,Dee Properties,nan
3 Beds,2 Baths,143 Sq. M.,"Sawari, Moharam Bik, Alexandria","5,863,000",https://www.bayut.eg/en/property/details-502655828.html,Dee Properties,nan
3 Beds,1 Bath,120 Sq. M.,"Laurent, Alexandria","3,600,000",https://www.bayut.eg/en/property/details-502655768.html,Coldwell Banker New Alex,nan
3 Beds,1 Bath,120 Sq. M.,"Laurent, Alexandria","3,600,000",https://www.bayut.eg/en/property/details-502655768.html,Coldwell Banker New Alex,nan
3 Beds,2 Baths,145 Sq. M.,"Smoha, Alexandria","4,450,000",https://www.bayut.eg/en/property/details-502655623.html,Mohamed Zaki,nan
3 Beds,2 Baths,145 Sq. M.,"Smoha, Alexandria","4,450,000",https://www.bayut.eg/en/property/details-502655623.html,Mohamed Zaki,nan
4 Beds,3 Baths,250 Sq. M.,"Sawari, Moharam Bik, Alexandria","12,000,000",https://www.bayut.eg/en/property/details-502655594.html,Eslam Rashad,nan
4 Beds,3 Baths,250 Sq. M.,"Sawari, Moharam Bik, Alexandria","12,000,000",https://www.bayut.eg/en/property/details-502655594.html,Eslam Rashad,nan
3 Beds,2 Baths,160 Sq. M.,"Sidi Beshr, Alexandria","7,200,000",https://www.bayut.eg/en/property/details-502654900.html,Sara Sayed,nan
3 Beds,2 Baths,160 Sq. M.,"Sidi Beshr, Alexandria","7,200,000",https://www.bayut.eg/en/property/details-502654900.html,Sara Sayed,nan
3 Beds,3 Baths,155 Sq. M.,"Alex West, Agami, Alexandria","5,735,000",https://www.bayut.eg/en/property/details-502654870.html,Arsany Mahrous,https://www.bayut.eg/en/brokers/arsany-mahrous-00000000-1ac6-801f-8000-024213371337.html
3 Beds,3 Baths,155 Sq. M.,"Alex West, Agami, Alexandria","5,735,000",https://www.bayut.eg/en/property/details-502654870.html,Arsany Mahrous,https://www.bayut.eg/en/brokers/arsany-mahrous-00000000-1ac6-801f-8000-024213371337.html
